Time,Channel A
(s),(V)

0.00000000,4.41145000
0.00062500,4.41145000
0.00125000,4.41145000
0.00187500,4.41145000
0.00250000,4.41145000
0.00312500,4.41145000
0.00375000,4.41145000
0.00437500,4.32294700
0.00500000,4.41145000
0.00562500,4.41145000
0.00625000,4.41145000
0.00687500,4.41145000
0.00750000,4.41145000
0.00812500,4.41145000
0.00875000,4.41145000
0.00937500,4.41145000
0.01000000,4.41145000
0.01062500,4.32294700
0.01125000,4.41145000
0.01187500,4.41145000
0.01250000,4.41145000
0.01312500,4.41145000
0.01375000,4.41145000
0.01437500,4.41145000
0.01500000,4.41145000
0.01562500,4.41145000
0.01625000,4.41145000
0.01687500,4.41145000
0.01750000,4.41145000
0.01812500,4.41145000
0.01875000,4.41145000
0.01937500,4.41145000
0.02000000,4.41145000
0.02062500,4.41145000
0.02125000,4.41145000
0.02187500,4.41145000
0.02250000,4.41145000
0.02312500,4.41145000
0.02375000,4.41145000
0.02437500,4.41145000
0.02500000,4.41145000
0.02562500,4.41145000
0.02625000,4.41145000
0.02687500,4.41145000
0.02750000,4.41145000
0.02812500,4.41145000
0.02875000,4.41145000
0.02937500,4.41145000
0.03000000,4.41145000
0.03062500,4.41145000
0.03125000,4.41145000
0.03187500,4.32294700
0.03250000,4.41145000
0.03312500,4.41145000
0.03375000,4.41145000
0.03437500,4.41145000
0.03500000,4.41145000
0.03562500,4.41145000
0.03625000,4.41145000
0.03687500,4.41145000
0.03750000,4.41145000
0.03812500,4.41145000
0.03875000,4.41145000
0.03937500,4.32294700
0.04000000,4.41145000
0.04062500,4.41145000
0.04125000,4.41145000
0.04187500,4.41145000
0.04250000,4.41145000
0.04312500,4.41145000
0.04375000,4.41145000
0.04437500,4.41145000
0.04500000,4.32294700
0.04562500,4.41145000
0.04625000,4.41145000
0.04687500,4.41145000
0.04750000,4.41145000
0.04812500,4.41145000
0.04875000,4.41145000
0.04937500,4.41145000
0.05000000,4.41145000
0.05062500,4.41145000
0.05125000,4.41145000
0.05187500,4.41145000
0.05250000,4.41145000
0.05312500,4.41145000
0.05375000,4.32294700
0.05437500,4.41145000
0.05500000,4.41145000
0.05562500,4.41145000
0.05625000,4.41145000
0.05687500,4.41145000
0.05750000,4.41145000
0.05812500,4.41145000
0.05875000,4.32294700
0.05937500,4.41145000
0.06000000,4.41145000
0.06062500,4.41145000
0.06125000,4.41145000
0.06187500,4.41145000
0.06250000,4.41145000
0.06312500,4.41145000
0.06375000,4.41145000
0.06437500,4.41145000
0.06500000,4.41145000
0.06562500,4.41145000
0.06625000,4.41145000
0.06687500,4.41145000
0.06750000,4.41145000
0.06812500,4.32294700
0.06875000,4.41145000
0.06937500,4.41145000
0.07000000,4.41145000
0.07062500,4.41145000
0.07125000,4.41145000
0.07187500,4.41145000
0.07250000,4.41145000
0.07312500,4.41145000
0.07375000,4.41145000
0.07437500,4.41145000
0.07500000,4.32294700
0.07562500,4.41145000
0.07625000,4.41145000
0.07687500,4.32294700
0.07750000,4.41145000
0.07812500,4.41145000
0.07875000,4.41145000
0.07937500,4.41145000
0.08000000,4.41145000
0.08062500,4.41145000
0.08125000,4.41145000
0.08187500,4.41145000
0.08250000,4.41145000
0.08312500,4.32294700
0.08375000,4.41145000
0.08437500,4.32294700
0.08500000,4.41145000
0.08562500,4.41145000
0.08625000,4.41145000
0.08687500,4.41145000
0.08750000,4.41145000
0.08812500,4.41145000
0.08875000,4.41145000
0.08937500,4.32294700
0.09000000,4.41145000
0.09062500,4.41145000
0.09125000,4.41145000
0.09187500,4.32294700
0.09250000,4.41145000
0.09312500,4.41145000
0.09375000,4.41145000
0.09437500,4.41145000
0.09500000,4.41145000
0.09562500,4.32294700
0.09625000,4.41145000
0.09687500,4.41145000
0.09750000,4.41145000
0.09812500,4.41145000
0.09875000,4.41145000
0.09937500,4.41145000
0.10000000,4.41145000
0.10062500,4.41145000
0.10125000,4.41145000
0.10187500,4.41145000
0.10250000,4.41145000
0.10312500,4.41145000
0.10375000,4.41145000
0.10437500,4.41145000
0.10500000,4.41145000
0.10562500,4.32294700
0.10625000,4.41145000
0.10687500,4.41145000
0.10750000,4.41145000
0.10812500,4.41145000
0.10875000,4.41145000
0.10937500,4.41145000
0.11000000,4.41145000
